missing_rate,Scenario,seed,Model,TP,FP,FN,Precision,Recall,F1,FPR,n_det,false_alarm_before_onset,first_det_after_onset
0.2,Sudden Drift,4,Evolving,10,43,29,0.18867924528301888,0.2564102564102564,0.21739130434782608,0.021927587965323816,1,0,1183.0
0.2,Gradual Drift,0,Static,16,86,23,0.1568627450980392,0.41025641025641024,0.22695035460992907,0.04385517593064763,1,0,1247.0
0.2,Gradual Drift,0,Evolving,13,38,26,0.2549019607843137,0.3333333333333333,0.2888888888888889,0.019377868434472208,1,0,1247.0
0.2,Gradual Drift,1,Static,16,86,23,0.1568627450980392,0.41025641025641024,0.22695035460992907,0.04385517593064763,1,0,1247.0
0.2,Gradual Drift,1,Evolving,14,46,25,0.23333333333333334,0.358974358974359,0.2828282828282829,0.023457419683834777,1,0,1247.0
0.2,Gradual Drift,2,Static,16,98,23,0.14035087719298245,0.41025641025641024,0.2091503267973856,0.049974502804691484,1,0,1311.0
0.2,Gradual Drift,2,Evolving,12,59,27,0.16901408450704225,0.3076923076923077,0.21818181818181817,0.030086690464048955,1,0,1311.0
0.2,Gradual Drift,3,Static,18,98,21,0.15517241379310345,0.46153846153846156,0.23225806451612904,0.049974502804691484,1,0,1311.0
0.2,Gradual Drift,3,Evolving,13,54,26,0.19402985074626866,0.3333333333333333,0.2452830188679245,0.027536970933197347,1,0,1311.0
0.2,Gradual Drift,4,Static,15,91,24,0.14150943396226415,0.38461538461538464,0.20689655172413793,0.046404895461499236,1,0,1247.0
0.2,Gradual Drift,4,Evolving,8,51,31,0.13559322033898305,0.20512820512820512,0.16326530612244897,0.026007139214686385,1,0,1247.0
